Junio C Hamano (3983):
Shawn O. Pearce (1211):
Linus Torvalds (1036):
Johannes Schindelin (684):
Eric Wong (429):
Jakub Narebski (370):
Jeff King (345):
Nicolas Pitre (303):
Paul Mackerras (293):
Simon Hausmann (252):
Johannes Sixt (220):
Petr Baudis (218):
Christian Couder (208):
Alex Riesen (198):
René Scharfe (197):
J. Bruce Fields (160):
Miklos Vajna (156):
Daniel Barkalow (155):
Kay Sievers (147):
Pierre Habouzit (134):
Brandon Casey (128):
Alexandre Julliard (108):
Thomas Rast (91):
Alexander Gavrilov (87):
Frank Lichtenheld (73):
Fredrik Kuivinen (69):
Martin Langhoff (66):
Jonas Fonseca (65):
Gerrit Pape (64):
Nanako Shiraishi (60):
Matthias Lederhofer (58):
Steffen Prohaska (56):
Jay Soffian (55):
Lars Hjemli (52):
Stephan Beyer (52):
Nick Hengeveld (52):
Martin Koegler (51):
Matthias Urlichs (51):
Michele Ballabio (50):
SZEDER Gábor (50):
Andy Parkins (50):
Sergey Vlasov (49):
Jim Meyering (48):
Christian Stimming (48):
Luben Tuikov (47):
Ryan Anderson (47):
Stephen Boyd (46):
Pavel Roskin (43):
H. Peter Anvin (41):
Mike Hommey (41):
Giuseppe Bilotta (40):
Markus Heidelberg (40):
Sven Verdoolaege (38):
Jon Loeliger (38):
Santi Béjar (37):
Sean Estabrooks (37):
Brian Gernhardt (37):
Mark Levedahl (36):
Aneesh Kumar K.V (35):
Dmitry Potapov (34):
Wincent Colaiuta (34):
Lukas Sandström (34):
Theodore Ts'o (33):
Han-Wen Nienhuys (32):
Jonathan Nieder (31):
Dennis Stosberg (31):
Andreas Ericsson (31):
Nguyễn Thái Ngọc Duy (31):
Jon Seymour (29):
Martin Waitz (28):
Eric W. Biederman (28):
Timo Hirvonen (28):
Michael J Gruber (27):
Johan Herland (27):
David Aguilar (26):
Carlos Rica (26):
Kristian Høgsberg (26):
Marius Storm-Olsen (26):
Ramsay Allan Jones (25):
Uwe Kleine-König (25):
Andy Whitcroft (25):
Robert Fitzsimons (25):
Jason Riedy (25):
Sam Vilain (25):
Kjetil Barvik (25):
Ralf Wildenhues (24):
Karl Hasselström (23):
Peter Eriksen (23):
Clemens Buchacher (23):
Matthieu Moy (23):
Matthias Kestenholz (22):
Charles Bailey (22):
Josef Weidendorfer (22):
Felipe Contreras (22):
Mark Wooding (21):
Robin Rosenberg (21):
Lee Marlow (21):
David Kastrup (21):
Adam Roben (21):
James Bowes (20):
Michael Witten (20):
Björn Steinbrink (20):
Brian Downing (20):
Lea Wiemann (19):
Andrew Ruder (19):
Nikolai Weibull (19):
Eygene Ryabinkin (18):
David Rientjes (18):
Gustaf Hendeby (17):
David J. Mellor (17):
Paolo Bonzini (17):
Yann Dirson (17):
Dan McGee (16):
Julian Phillips (15):
Adam Simpkins (15):
Anand Kumria (15):
Abhijit Menon-Sen (15):
Yasushi SHOJI (15):
Sergei Organov (15):
Heikki Orsila (15):
A Large Angry SCM (15):
Steven Grimm (15):
Arjen Laarhoven (14):
Teemu Likonen (14):
Olivier Marin (14):
Chris Johnsen (14):
Carl Worth (14):
Quy Tonthat (14):
Tony Luck (13):
Mike Ralphson (13):
Anders Melchiorsen (13):
Robin H. Johnson (13):
Kevin Ballard (13):
David Greaves (13):
David Kågedal (13):
Ping Yin (13):
Dmitry V. Levin (12):
Bryan Donlan (12):
Marco Costalba (12):
Robert Shearman (12):
Matt McCutchen (12):
Deskin Miller (11):
Marcus Griep (11):
Horst H. von Brand (11):
Jari Aalto (11):
David Symonds (11):
Benoit Sigoure (11):
Matt Kraai (11):
Franck Bui-Huu (11):
Josh Triplett (11):
David D. Kilzer (11):
Pieter de Bie (11):
Luiz Fernando N. Capitulino (11):
Brian Hetro (10):
Dana L. How (10):
Michael S. Tsirkin (10):
Ben Walton (10):
Allan Caffee (10):
Chris Shoemaker (10):
Mikael Magnusson (10):
Florian Forster (10):
Ted Pavlic (10):
Shawn Bohrer (10):
Avery Pennarun (9):
Francis Daly (9):
Finn Arne Gangstad (9):
Erik Faye-Lund (9):
Alp Toker (9):
Sasha Khapyorsky (9):
Robert Schiele (9):
Stephen Haberman (9):
Tommi Virtanen (8):
Jean-Luc Herren (8):
Chris Wright (8):
William Pursell (8):
Mike McCormack (8):
Benjamin Kramer (8):
Jonathan del Strother (8):
Michael Hendricks (7):
Damien Diederen (7):
Yaacov Akiba Slama (7):
Thomas Glanzmann (7):
Jürgen Rühle (7):
Kai Ruemmler (7):
Stephen R. van den Berg (7):
James Bottomley (7):
Peter Hagervall (7):
Alexander Potashev (7):
Serge E. Hallyn (7):
Scott R Parish (7):
Philippe Bruhat (6):
Adeodato Simó (6):
Amos Waterland (6):
Brad Roberts (6):
Bryan Larsen (6):
David M. Syzdek (6):
Don Zickus (6):
Edgar Toernig (6):
Eric Raible (6):
Joey Hess (6):
Keith Cascio (6):
Kirill Smelkov (6):
Lars Noschinski (6):
Michael Spang (6):
Michał Kiedrowicz (6):
Randal L. Schwartz (6):
Todd Zullinger (6):
Tom Prince (6):
YOSHIFUJI Hideaki (6):
Yakov Lerner (6):
martin f. krafft (6):
Wesley J. Landaker (5):
Elijah Newren (5):
Grégoire Barbier (5):
Jens Lehmann (5):
Fernando J. Pereda (5):
jidanni@jidanni.org (5):
David Reiss (5):
Marco Roeland (5):
Peter Karlsson (5):
Tay Ray Chuan (5):
Ingo Molnar (5):
Marcel M. Cary (5):
Pascal Obry (5):
Stephan Feder (5):
John Tapsell (5):
Michael Coleman (5):
Michal Rokos (5):
Heiko Voigt (5):
Tor Arvid Lund (5):
Simon 'corecode' Schubert (5):
Denis Cheng (5):
Ask Bjørn Hansen (5):
Matthew Ogilvie (5):
Jan Krüger (5):
Samuel Tardieu (5):
Sverre Rabbelier (4):
Jan Harkes (4):
Florian Weimer (4):
Federico Mena Quintero (4):
Christian Meder (4):
Emil Medve (4):
Alecs King (4):
Bert Wesarg (4):
Richard Quirk (4):
anonymous (4):
Steve Haslam (4):
Mark Burton (4):
Pat Thoyts (4):
Guanqun Lu (4):
Michael Loeffler (4):
Rafael Garcia-Suarez (4):
Tuncer Ayaz (4):
Boyd Stephen Smith Jr (4):
Tommy M. McGuire (4):
Josh England (4):
Paolo Ciarrocchi (4):
Fabian Emmes (4):
Marcel Koeppen (4):
Sitaram Chamarty (4):
Davide Libenzi (4):
Kevin Geiss (4):
Josh Micich (3):
David Woodhouse (3):
Martyn Smith (3):
Mark Allen (3):
Jörg Sommer (3):
David Soria Parra (3):
Trent Piepho (3):
Kalle Valo (3):
Liu Yubao (3):
Eyvind Bernhardsen (3):
Tor Arne Vestbø (3):
Holger Eitzenberger (3):
Xavier Maillard (3):
Tilman Sauerbeck (3):
Alex Vandiver (3):
Steve Hoelzer (3):
Stefan Sperling (3):
Stefan Naewe (3):
Jake Goulding (3):
Alan Chandler (3):
Eric Blake (3):
Jan Hudec (3):
Rutger Nijlunsing (3):
Jason McMullan (3):
Väinö Järvelä (3):
Ben Jackson (3):
Jeff Muizelaar (3):
Jeremy White (3):
Jim Radford (3):
Vitaly \"_Vi\" Shukela (3):
Peter Valdemar Mørch (3):
Peter Krefting (3):
Peter Baumann (3):
Pete Wyckoff (3):
Pete Harlan (3):
Dustin Sallings (3):
Patrick Mauritz (3):
Ville Skyttä (3):
Bruno Ribas (3):
Chris Frey (3):
Chris Pettitt (3):
İsmail Dönmez (3):
Michal Ostrowski (3):
Dirk Süsserott (3):
Michael W. Olson (3):
Zach Welch (3):
David S. Miller (2):
Geoffrey Thomas (2):
Greg KH (2):
Guido Ostkamp (2):
H.Merijn Brand (2):
Henrik Austad (2):
Holger Weiß (2):
Eric Kidd (2):
Eric Hanchrow (2):
Emil Sit (2):
Jason Merrill (2):
Jeffrey C. Ollie (2):
Jens Axboe (2):
